file_name,device_info_serial,start_time,end_time,inPark,WENT_BACK,feeding_event
5861_2023-06-17 06:37:18_2023-06-17 10:19:40.csv,5861,2023-06-17T06:37:18Z,2023-06-17T10:19:40Z,0,0,0
5861_2023-06-20 00:03:36_2023-06-20 05:11:53.csv,5861,2023-06-20T00:03:36Z,2023-06-20T05:11:53Z,0,1,1
5861_2023-06-20 05:11:53_2023-06-20 12:19:56.csv,5861,2023-06-20T05:11:53Z,2023-06-20T12:19:56Z,0,0,0
5861_2023-07-03 07:15:00_2023-07-03 08:02:38.csv,5861,2023-07-03T07:15:00Z,2023-07-03T08:02:38Z,0,1,0
5861_2023-07-09 00:03:30_2023-07-09 04:01:07.csv,5861,2023-07-09T00:03:30Z,2023-07-09T04:01:07Z,0,0,0
5861_2023-07-09 06:45:54_2023-07-09 09:22:44.csv,5861,2023-07-09T06:45:54Z,2023-07-09T09:22:44Z,0,1,1
5861_2023-07-11 02:31:40_2023-07-11 10:54:21.csv,5861,2023-07-11T02:31:40Z,2023-07-11T10:54:21Z,0,0,0
5861_2023-07-12 01:24:38_2023-07-12 06:35:30.csv,5861,2023-07-12T01:24:38Z,2023-07-12T06:35:30Z,0,0,0
5861_2023-07-12 15:21:55_2023-07-12 16:50:10.csv,5861,2023-07-12T15:21:55Z,2023-07-12T16:50:10Z,0,0,0
5861_2023-07-14 05:24:02_2023-07-14 08:25:53.csv,5861,2023-07-14T05:24:02Z,2023-07-14T08:25:53Z,0,0,0
5861_2023-07-15 03:34:00_2023-07-15 05:03:32.csv,5861,2023-07-15T03:34:00Z,2023-07-15T05:03:32Z,0,0,0
5861_2023-07-18 02:22:05_2023-07-18 09:21:31.csv,5861,2023-07-18T02:22:05Z,2023-07-18T09:21:31Z,0,1,1
5942_2023-07-07 08:31:08_2023-07-07 13:46:35.csv,5942,2023-07-07T08:31:08Z,2023-07-07T13:46:35Z,1,0,0
5943_2023-07-01 17:11:30_2023-07-01 19:57:06.csv,5943,2023-07-01T17:11:30Z,2023-07-01T19:57:06Z,1,1,1
5943_2023-07-03 04:47:13_2023-07-03 06:04:00.csv,5943,2023-07-03T04:47:13Z,2023-07-03T06:04:00Z,0,1,0
5943_2023-07-04 17:28:51_2023-07-04 21:06:07.csv,5943,2023-07-04T17:28:51Z,2023-07-04T21:06:07Z,1,1,1
5965_2023-06-18 19:02:22_2023-06-18 20:17:46.csv,5965,2023-06-18T19:02:22Z,2023-06-18T20:17:46Z,0,1,1
5965_2023-06-21 03:06:23_2023-06-21 05:45:20.csv,5965,2023-06-21T03:06:23Z,2023-06-21T05:45:20Z,1,1,1
5965_2023-06-23 19:45:25_2023-06-23 20:32:08.csv,5965,2023-06-23T19:45:25Z,2023-06-23T20:32:08Z,0,1,1
5965_2023-07-02 02:53:10_2023-07-02 04:10:54.csv,5965,2023-07-02T02:53:10Z,2023-07-02T04:10:54Z,0,1,0
5965_2023-07-03 04:14:09_2023-07-03 05:45:53.csv,5965,2023-07-03T04:14:09Z,2023-07-03T05:45:53Z,0,1,1
5965_2023-07-04 04:22:28_2023-07-04 06:00:20.csv,5965,2023-07-04T04:22:28Z,2023-07-04T06:00:20Z,0,1,1
5965_2023-07-05 04:42:08_2023-07-05 05:11:50.csv,5965,2023-07-05T04:42:08Z,2023-07-05T05:07:03Z,0,0,0
5965_2023-07-06 03:53:43_2023-07-06 04:38:28.csv,5965,2023-07-06T03:53:43Z,2023-07-06T04:38:28Z,0,1,0
